Record ID,AuthorName,nRetracted,FirstRetractionYear,OffenseSameYear
18448,ede5610f0ce5f704c8f71a29972a587a5e45b6f8ac40aa38df7280320ef9695f,2,2018,True
18467,ede5610f0ce5f704c8f71a29972a587a5e45b6f8ac40aa38df7280320ef9695f,2,2018,True
3589,21cd7b048c8afed1149c9c341679be103ea78db40de0c225d553aa717c73cbc3,2,2012,True
3588,21cd7b048c8afed1149c9c341679be103ea78db40de0c225d553aa717c73cbc3,2,2012,True
20143,bf87fc61ae23783333c149651c2d2112d7f41edd27c0a8e7bb45d8ca2ff36931,2,2019,True
20142,bf87fc61ae23783333c149651c2d2112d7f41edd27c0a8e7bb45d8ca2ff36931,2,2019,True
1656,2ace77ac1e9501fae0291193bb618eafa091e9517c525217404489b434676bb6,2,2015,True
3192,2ace77ac1e9501fae0291193bb618eafa091e9517c525217404489b434676bb6,2,2015,True
4021,619eceae93266720deb50a034ef78600906b626942a3177e16892d3ad3a6d78f,2,1989,True
4325,619eceae93266720deb50a034ef78600906b626942a3177e16892d3ad3a6d78f,2,1989,True
4755,df2f0a37622f492bdc2c4d16b99aa290bafaf89a53791f1f44178105fba2a189,2,2014,True
1320,df2f0a37622f492bdc2c4d16b99aa290bafaf89a53791f1f44178105fba2a189,2,2014,True
1844,88747dc51c1098b1869c53f0fb7ea698438c15437b00ac5bc467727288f4d544,2,2012,True
2629,88747dc51c1098b1869c53f0fb7ea698438c15437b00ac5bc467727288f4d544,2,2012,True
3779,4ba1284c4895adec8b64f8a7665dd1933240ab10be3f07d9c70f5c9260d45292,3,2011,True
4458,4ba1284c4895adec8b64f8a7665dd1933240ab10be3f07d9c70f5c9260d45292,3,2011,True
16733,4ba1284c4895adec8b64f8a7665dd1933240ab10be3f07d9c70f5c9260d45292,3,2011,True
2967,4389f3e1e042228a038f9a52f943ce8b7fe0b9d8d9be3a7e298104b7f1ead49a,3,2015,True
2647,4389f3e1e042228a038f9a52f943ce8b7fe0b9d8d9be3a7e298104b7f1ead49a,3,2015,True
3693,4389f3e1e042228a038f9a52f943ce8b7fe0b9d8d9be3a7e298104b7f1ead49a,3,2015,True
4909,8dce8f7a868d6ed7e0a7f8813078b61395192745c1662e0f3a63609c7c197b64,2,2012,True
4565,8dce8f7a868d6ed7e0a7f8813078b61395192745c1662e0f3a63609c7c197b64,2,2012,True
7999,801df9bf6f77a8ce3bf8cb752d0211c3352cd4587f76db6fad90b3eeb51c1509,2,2017,True
16634,801df9bf6f77a8ce3bf8cb752d0211c3352cd4587f76db6fad90b3eeb51c1509,2,2017,True
5350,aced38b823d258267a27cc8b7489a91968aa39ec912d5a1f8c368971e5ebe9cc,2,2008,True
4189,aced38b823d258267a27cc8b7489a91968aa39ec912d5a1f8c368971e5ebe9cc,2,2008,True
1814,a18e092acc82a6b3f623b1aaecc3dff9be225eff1691bebf4f2cffa2205f8ce7,2,2007,True
1816,a18e092acc82a6b3f623b1aaecc3dff9be225eff1691bebf4f2cffa2205f8ce7,2,2007,True
26796,080fed7cc45bf2c061cf7c2b462dc29830fab16c828b50229e59c2d80fba4474,3,2019,True
26794,080fed7cc45bf2c061cf7c2b462dc29830fab16c828b50229e59c2d80fba4474,3,2019,True
26797,080fed7cc45bf2c061cf7c2b462dc29830fab16c828b50229e59c2d80fba4474,3,2019,True
6164,616a6887c2d833bcb0ac1bc6db75455c52becdfbf0d8e536c2dd18044b6b2936,2,2015,True
6160,616a6887c2d833bcb0ac1bc6db75455c52becdfbf0d8e536c2dd18044b6b2936,2,2015,True
